"time","v","y","der(v)","der(y)","count"
0.17,-1.6677,0.8582454960136454,-9.810000000000001,-1.6677,0
0.175,-1.71675,0.8497843709939271,-9.810000000000001,-1.71675,0
0.18,-1.7658,0.841077995974697,-9.810000000000001,-1.7658,0
0.185,-1.81485,0.8321263709559553,-9.810000000000001,-1.81485,0
0.19,-1.8639,0.8229294959377018,-9.810000000000001,-1.8639,0
0.195,-1.91295,0.8134873709199366,-9.810000000000001,-1.91295,0
0.2,-1.962,0.8037999959026598,-9.810000000000001,-1.962,0
0.205,-2.01105,0.7938673708858715,-9.810000000000001,-2.01105,0
0.21,-2.0601,0.7836894958695712,-9.810000000000001,-2.0601,0
0.215,-2.10915,0.7732663708537594,-9.810000000000001,-2.10915,0
0.22,-2.1582,0.7625979958384358,-9.810000000000001,-2.1582,0
0.225,-2.20725,0.7516843708236005,-9.810000000000001,-2.20725,0
0.23,-2.2563,0.7405254958092535,-9.810000000000001,-2.2563,0
0.235,-2.30535,0.729121370795395,-9.810000000000001,-2.30535,0
0.24,-2.3544,0.7174719957820247,-9.810000000000001,-2.3544,0
0.245,-2.40345,0.7055773707691427,-9.810000000000001,-2.40345,0
0.25,-2.4525,0.693437495756749,-9.810000000000001,-2.4525,0
0.255,-2.50155,0.6810523707448437,-9.810000000000001,-2.50155,0
0.26,-2.5506,0.6684219957334266,-9.810000000000001,-2.5506,0
0.265,-2.59965,0.6555463707224979,-9.810000000000001,-2.59965,0
0.27,-2.6487,0.6424254957120574,-9.810000000000001,-2.6487,0
0.275,-2.69775,0.6290593707021053,-9.810000000000001,-2.69775,0
0.28,-2.7468,0.6154479956926415,-9.810000000000001,-2.7468,0
0.285,-2.79585,0.6015913706836662,-9.810000000000001,-2.79585,0
0.29,-2.8449,0.5874894956751791,-9.810000000000001,-2.8449,0
0.295,-2.89395,0.5731423706671802,-9.810000000000001,-2.89395,0
0.3,-2.943,0.5585499956596697,-9.810000000000001,-2.943,0
0.305,-2.99205,0.5437123706526474,-9.810000000000001,-2.99205,0
0.31,-3.0411,0.5286294956461135,-9.810000000000001,-3.0411,0
0.315,-3.09015,0.513301370640068,-9.810000000000001,-3.09015,0
0.32,-3.1392,0.4977279956345106,-9.810000000000001,-3.1392,0
0.325,-3.18825,0.4819093706294417,-9.810000000000001,-3.18825,0
0.33,-3.237299999999999,0.4658454956219856,-9.810000000000001,-3.237299999999999,0
0.335,-3.286349999999999,0.4495363706114366,-9.810000000000001,-3.286349999999999,0
0.34,-3.3354,0.4329819956010039,-9.810000000000001,-3.3354,0
0.345,-3.384449999999999,0.4161823705906874,-9.810000000000001,-3.384449999999999,0
0.35,-3.433499999999999,0.399137495580487,-9.810000000000001,-3.433499999999999,0
0.355,-3.482549999999999,0.3818473705704026,-9.810000000000001,-3.482549999999999,0
0.36,-3.531599999999999,0.3643119955604344,-9.810000000000001,-3.531599999999999,0
0.365,-3.580649999999999,0.3465313705505824,-9.810000000000001,-3.580649999999999,0
0.37,-3.629699999999999,0.3285054955408466,-9.810000000000001,-3.629699999999999,0
0.375,-3.678749999999999,0.3102343705312269,-9.810000000000001,-3.678749999999999,0
0.38,-3.727799999999999,0.2917179955217233,-9.810000000000001,-3.727799999999999,0
0.385,-3.776849999999999,0.2729563705123359,-9.810000000000001,-3.776849999999999,0
0.39,-3.825899999999999,0.2539494955030646,-9.810000000000001,-3.825899999999999,0
0.395,-3.874949999999999,0.2346973704939095,-9.810000000000001,-3.874949999999999,0
0.4,-3.924,0.2151999954848706,-9.810000000000001,-3.924,0
0.405,-3.973049999999999,0.1954573704759478,-9.810000000000001,-3.973049999999999,0
0.41,-4.022099999999999,0.1754694954671414,-9.810000000000001,-4.022099999999999,0
0.415,-4.071149999999999,0.1552363704584509,-9.810000000000001,-4.071149999999999,0
0.42,-4.120199999999999,0.1347579954498766,-9.810000000000001,-4.120199999999999,0
0.425,-4.169249999999999,0.1140343704414184,-9.810000000000001,-4.169249999999999,0
0.43,-4.218299999999999,0.09306549543307642,-9.810000000000001,-4.218299999999999,0
0.435,-4.26735,0.07185137042485056,-9.810000000000001,-4.26735,0
0.44,-4.316399999999999,0.05039199541674085,-9.810000000000001,-4.316399999999999,0
0.445,-4.365449999999999,0.02868737040874729,-9.810000000000001,-4.365449999999999,0
0.45,-4.414499999999999,0.006737495400869899,-9.810000000000001,-4.414499999999999,0
0.451523642204523,-4.429446930026369,-1.000008214342046e-008,-9.810000000000001,-4.429446930026369,0
0.451523642204523,3.100612851018458,-1.000008214342046e-008,-9.810000000000001,3.100612851018458,1
0.4515236486549599,3.100612787739672,1.000000549102228e-008,-9.810000000000001,3.100612787739672,1
0.4515236486549599,3.100612787739672,1.000000549102228e-008,-9.810000000000001,3.100612787739672,1
0.455,3.066509781044828,0.01071955136191528,-9.810000000000001,3.066509781044828,1
0.46,3.017459781044828,0.0259294750608931,-9.810000000000001,3.017459781044828,1
0.465,2.968409781044828,0.04089414886486178,-9.810000000000001,2.968409781044828,1
0.47,2.919359781044829,0.05561357269362773,-9.810000000000001,2.919359781044829,1
0.475,2.870309781044829,0.07008774653573913,-9.810000000000001,2.870309781044829,1
0.48,2.821259781044828,0.08431667039950123,-9.810000000000001,2.821259781044828,1
0.485,2.772209781044829,0.09830034425708348,-9.810000000000001,2.772209781044829,1
0.49,2.723159781044828,0.1120387681218529,-9.810000000000001,2.723159781044828,1
0.495,2.674109781044828,0.1255319419938096,-9.810000000000001,2.674109781044828,1
0.5,2.625059781044828,0.1387798658729534,-9.810000000000001,2.625059781044828,1
0.505,2.576009781044828,0.1517825397592844,-9.810000000000001,2.576009781044828,1
0.51,2.526959781044828,0.1645399636476982,-9.810000000000001,2.526959781044828,1
0.515,2.477909781044828,0.1770521375280054,-9.810000000000001,2.477909781044828,1
0.52,2.428859781044828,0.1893190614099152,-9.810000000000001,2.428859781044828,1
0.525,2.379809781044828,0.2013407352934274,-9.810000000000001,2.379809781044828,1
